file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_300_0.125_8.txt.out	13	1199.91	18.4184	[49.0, 37.0, 31.0, 21.0, 20.0, 18.0, 17.0, 16.0, 15.0, 14.0, 13.0]	[0.148562, 0.567192, 1.297243, 2.248394, 2.383778, 2.971478, 34.683209, 38.770019, 39.251357, 80.187709, 648.058161]	[85.862935, 77.383492, 71.5895, 58.02683, 55.928171, 50.92991, 43.16628, 39.594956, 35.561838, 30.272413, 19.788219]	[1393, 2358, 3373, 13265, 15510, 22046, 308380, 359958, 365775, 724333, 5639378]
sdrdp_wireless_300_0.125_9.txt.out	12	1200.3	24.3444	[45.0, 40.0, 21.0, 20.0, 18.0, 15.0, 14.0, 13.0, 12.0]	[0.162114, 0.554442, 1.461649, 2.515806, 2.696446, 3.284564, 15.570602, 115.554707, 154.723531]	[89.437697, 83.592163, 66.19432, 64.017408, 60.019342, 52.009272, 46.211367, 38.27446, 32.281128]	[1656, 2677, 4321, 16215, 17946, 25056, 94534, 815658, 1253221]
sdrdp_wireless_300_0.156_0.txt.out	4	1200.21	97.6079	[30.0, 29.0, 9.0, 7.0, 6.0, 5.0, 4.0]	[0.408811, 0.72882, 1.494928, 2.990367, 26.582489, 57.378241, 112.122935]	[107.0331, 104.841455, 113.944309, 117.255124, 111.568844, 110.449753, 109.922856]	[1659, 2375, 2949, 13008, 143659, 370156, 812341]
sdrdp_wireless_300_0.156_1.txt.out	7	1200.07	44.3935	[42.0, 30.0, 23.0, 21.0, 19.0, 14.0, 12.0, 10.0, 9.0, 8.0, 7.0]	[0.234688, 0.622768, 0.73288, 1.404228, 2.688851, 3.658617, 13.010101, 13.794288, 64.77042, 66.006596, 267.696397]	[94.842308, 91.132609, 88.088339, 86.520901, 85.021102, 79.671496, 74.662211, 69.536308, 64.60936, 60.179013, 51.796244]	[1704, 2344, 2481, 2776, 15342, 19283, 41523, 44590, 364700, 372258, 1852410]
sdrdp_wireless_300_0.156_2.txt.out	6	1200.12	49.9563	[50.0, 35.0, 32.0, 20.0, 16.0, 15.0, 13.0, 10.0, 9.0, 8.0, 7.0, 6.0]	[0.208662, 0.525111, 0.636342, 1.882292, 3.187576, 3.242146, 4.229142, 6.126458, 11.027972, 154.850623, 157.023084, 231.18636]	[97.63442, 94.605039, 93.844452, 89.205807, 86.357544, 85.448047, 83.161033, 77.891044, 75.193453, 68.118362, 63.563843, 56.31311]	[1446, 2030, 2272, 3266, 14102, 14502, 19188, 38764, 45636, 1290780, 1304289, 1825181]
sdrdp_wireless_300_0.156_3.txt.out	5	750.818	0.0	[35.0, 23.0, 18.0, 13.0, 10.0, 9.0, 7.0, 6.0, 5.0]	[0.20616, 0.705388, 1.660836, 2.828597, 3.891141, 22.186492, 23.078268, 76.655697, 750.81456]	[93.714286, 88.405797, 84.47178, 78.231674, 71.47547, 62.479072, 51.746129, 39.68254, 0.0]	[1607, 2836, 4327, 16196, 21941, 115660, 120085, 522026, 5699113]
sdrdp_wireless_300_0.156_4.txt.out	8	1200.05	31.2481	[32.0, 23.0, 15.0, 12.0, 11.0, 9.0, 8.0]	[0.209917, 0.962253, 1.567449, 2.682649, 41.972091, 66.471316, 89.268896]	[89.100433, 81.96844, 71.534481, 63.920608, 57.151532, 47.131007, 39.236992]	[1637, 2405, 2797, 13322, 334533, 482675, 754500]
sdrdp_wireless_300_0.156_5.txt.out	5	1200.3	76.9315	[33.0, 23.0, 20.0, 12.0, 9.0, 7.0, 6.0, 5.0]	[0.452509, 0.828057, 1.540673, 2.709019, 2.717948, 3.459675, 132.510754, 797.812942]	[100.684965, 100.390083, 99.787042, 98.914693, 98.552924, 98.139474, 88.045132, 78.173088]	[2217, 2636, 3228, 14084, 14219, 21413, 911547, 6307608]
sdrdp_wireless_300_0.156_6.txt.out	7	1200.31	37.2997	[41.0, 25.0, 20.0, 13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0]	[0.204032, 0.70443, 1.785304, 3.011699, 3.708216, 26.19047, 37.71699, 155.967191, 290.91192, 708.309778]	[95.015801, 89.358697, 84.491354, 75.882258, 73.860375, 67.26095, 63.418765, 57.754268, 49.946191, 39.180193]	[1654, 2449, 3472, 15214, 19203, 141227, 226843, 955132, 1958750, 5159162]
sdrdp_wireless_300_0.156_7.txt.out	4	1200.03	65.3912	[41.0, 33.0, 25.0, 19.0, 13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0]	[0.435971, 0.630949, 0.717811, 1.744724, 2.912603, 2.968619, 3.019935, 3.901117, 23.037373, 24.318419, 32.808209, 49.685634, 266.287805, 649.981119]	[101.080786, 100.356807, 100.448377, 99.155396, 98.388822, 98.254557, 98.095881, 97.826721, 93.779851, 93.002333, 91.290716, 88.77762, 80.41049, 68.955258]	[1773, 2222, 2294, 3167, 14531, 14894, 15202, 20475, 135925, 140925, 229597, 384589, 1815907, 4637058]
sdrdp_wireless_300_0.156_8.txt.out	6	1199.99	52.3103	[50.0, 30.0, 19.0, 11.0, 9.0, 8.0, 7.0, 6.0]	[0.208754, 0.484212, 0.710119, 2.869906, 2.914172, 2.916003, 18.355538, 49.148178]	[98.499465, 95.352559, 91.24566, 82.650625, 78.795208, 76.144609, 67.828701, 60.044346]	[1458, 1753, 2189, 11984, 12231, 12236, 94355, 325837]
sdrdp_wireless_300_0.156_9.txt.out	5	1198.82	67.5562	[24.0, 23.0, 19.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0]	[0.214488, 0.786141, 1.260704, 2.359117, 3.20072, 35.418881, 35.954005, 376.922226, 997.515259]	[102.4037, 97.57418, 96.816275, 93.574021, 92.315324, 86.616449, 84.658558, 76.589167, 68.081393]	[1751, 2660, 2844, 14180, 20655, 282075, 286352, 3660351, 10565729]
sdrdp_wireless_30_0.289_0.txt.out	2	0.009964	0.0	[]	[]	[]	[]
sdrdp_wireless_30_0.289_1.txt.out	3	0.028596	0.0	[12.0, 5.0]	[0.008434, 0.013625]	[83.333333, 46.666667]	[133, 179]
sdrdp_wireless_30_0.319_2.txt.out	5	0.051326	0.0	[14.0, 6.0, 5.0]	[0.008957, 0.020928, 0.051136]	[78.571429, 25.0, 0.0]	[63, 180, 693]
sdrdp_wireless_30_0.319_3.txt.out	4	0.026435	0.0	[9.0, 6.0, 5.0, 4.0]	[0.007803, 0.013897, 0.024839, 0.026276]	[55.555556, 33.333333, 20.0, 0.0]	[54, 106, 207, 283]
sdrdp_wireless_30_0.319_4.txt.out	5	0.075405	0.0	[8.0, 7.0, 6.0, 5.0]	[0.009243, 0.025235, 0.070651, 0.075206]	[56.25, 40.0, 25.0, 0.0]	[69, 197, 363, 566]
sdrdp_wireless_30_0.319_5.txt.out	4	0.029348	0.0	[7.0, 5.0, 4.0]	[0.008618, 0.019373, 0.029169]	[57.142857, 26.666667, 0.0]	[65, 135, 166]
sdrdp_wireless_30_0.335_6.txt.out	4	0.051689	0.0	[5.0, 4.0]	[0.008888, 0.051502]	[50.0, 0.0]	[67, 353]
sdrdp_wireless_30_0.351_7.txt.out	5	0.054605	0.0	[11.0, 7.0, 5.0]	[0.009597, 0.014839, 0.03089]	[81.818182, 57.142857, 28.181818]	[55, 111, 195]
sdrdp_wireless_30_0.351_8.txt.out	3	0.014812	0.0	[8.0]	[0.009337]	[75.0]	[54]
